"leaf","action"
"azure/dev/01.network/resource-group/hub-rg","updated_values"
"azure/dev/01.network/resource-group/spoke-rg","copied_and_updated"
"azure/dev/01.network/route/hub-route-default","copied_and_updated"
"azure/dev/01.network/route/spoke-route-default","copied_and_updated"
"azure/dev/01.network/security-group/application-security-group/keyvault-clients","copied_and_updated"
"azure/dev/01.network/security-group/application-security-group/vm-allowed-clients","copied_and_updated"
"azure/dev/01.network/security-group/network-security-group/keyvault-standalone","copied_and_updated"
"azure/dev/01.network/security-group/security-policy/hub-sg-policy-default","copied_and_updated"
"azure/dev/01.network/security-group/security-policy/spoke-sg-policy-default","copied_and_updated"
"azure/dev/01.network/subnet/hub-appgateway-subnet","copied_and_updated"
"azure/dev/01.network/subnet/hub-azurefirewall-management-subnet","copied_and_updated"
"azure/dev/01.network/subnet/hub-azurefirewall-subnet","copied_and_updated"
"azure/dev/01.network/subnet/hub-dnsresolver-inbound-subnet","copied_and_updated"
"azure/dev/01.network/subnet/hub-gateway-subnet","copied_and_updated"
"azure/dev/01.network/subnet/hub-monitoring-vm-subnet","copied_and_updated"
"azure/dev/01.network/subnet/hub-pep-subnet","copied_and_updated"
"azure/dev/01.network/subnet/spoke-apim-subnet","copied_and_updated"
"azure/dev/01.network/subnet/spoke-pep-subnet","copied_and_updated"
"azure/dev/01.network/vnet/hub-vnet","updated_values"
"azure/dev/01.network/vnet/spoke-vnet","updated_values"
"azure/dev/02.storage/monitoring","updated_values"
"azure/dev/03.shared-services/log-analytics","copied_and_updated"
"azure/dev/03.shared-services/shared","copied_and_updated"
"azure/dev/04.apim/workload","copied_and_updated"
"azure/dev/05.ai-services/workload","copied_and_updated"
"azure/dev/06.compute/linux-monitoring-vm","copied_and_updated"
"azure/dev/06.compute/windows-example","copied_and_updated"
"azure/dev/07.identity/group-membership/admin-core","copied_example"
"azure/dev/07.identity/group-membership/ai-developer-core","copied_example"
"azure/dev/08.rbac/authorization/hub-assignments","copied_and_updated"
"azure/dev/08.rbac/authorization/spoke-assignments","copied_and_updated"
"azure/dev/08.rbac/group/admin-hub-scope","copied_and_updated"
"azure/dev/08.rbac/group/ai-developer-spoke-scope","copied_and_updated"
"azure/dev/08.rbac/principal/hub-assignments","copied_and_updated"
"azure/dev/08.rbac/principal/spoke-assignments","copied_and_updated"
"azure/dev/09.connectivity/diagnostics/hub","copied_and_updated"
"azure/dev/09.connectivity/peering/hub-to-spoke","copied_and_updated"
"azure/dev/09.connectivity/peering/spoke-to-hub","copied_and_updated"
